student_id,name,email,password,mobile_number,role,worker_type,student_roll_number,student_email,created_at,updated_at,is_worker_free,number_of_grievances_allocated,assigned_grievances
00643cc0-a7a9-4a46-94f4-6add06b1e45e,Siya Thaker,siyathaker25@example.com,siyathaker25,9000000025,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
0322359d-4b1b-4140-911a-8eef842ee20e,Nishith Chaudhary,nishithchaudhary39@example.com,nishithchaudhary39,9000000039,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
03df1d0f-8089-4b37-b3cd-d024aca359da,Ojas Wason,ojaswason64@example.com,ojaswason64,9000000064,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
0bf81dce-b6dc-4ba4-9312-807ad741fa2f,Tara Sahota,tarasahota41@example.com,tarasahota41,9000000041,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
11116343-9b26-4399-a6ef-57cbb7d769cd,Lakshay Gopal,lakshaygopal60@example.com,lakshaygopal60,9000000060,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
1401cbcc-6fab-4dca-8311-1d613463c591,Adira Saraf,adirasaraf69@example.com,adirasaraf69,9000000069,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
221620eb-13b1-4113-a501-c2c8c578eabc,Jhanvi Kuruvilla,jhanvikuruvilla56@example.com,jhanvikuruvilla56,9000000056,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
279d240e-a888-42ae-ac08-83ff44c971db,Jayesh Dara,jayeshdara50@example.com,jayeshdara50,9000000050,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
28e2379a-7327-46cc-bcb4-2d0b969c7986,Vritika Apte,vritikaapte63@example.com,vritikaapte63,9000000063,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
29ae03ba-3378-4722-8160-363fc170f3d1,Vivaan Date,vivaandate4@example.com,vivaandate4,9000000004,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
29c682e0-02fc-44fe-b45f-7d72186fdcae,Tanya Ghosh,tanyaghosh9@example.com,tanyaghosh9,9000000009,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
2edf21c3-c3db-4dc3-84fd-774d63d8f38c,Hazel Chopra,hazelchopra70@example.com,hazelchopra70,9000000070,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
35137b7a-5b07-4a92-a1c1-4f793d640612,Hrishita Doshi,hrishitadoshi16@example.com,hrishitadoshi16,9000000016,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
38c46260-e9ac-4fb0-ae3a-f97d8d0ae5de,Azad Sankaran,azadsankaran28@example.com,azadsankaran28,9000000028,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
418a1db9-e160-4778-bc68-0d03be9f17e5,Armaan Sehgal,armaansehgal12@example.com,armaansehgal12,9000000012,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
4211681e-9ff8-4d75-9eaa-be573bb82888,Aaina Agate,aainaagate68@example.com,aainaagate68,9000000068,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
494acc08-ed9a-45b7-9469-d4e5c70feb55,Vivaan Hayre,vivaanhayre27@example.com,vivaanhayre27,9000000027,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
4c1926d7-be01-4201-9332-0ea92651ebc6,Manikya Mand,manikyamand14@example.com,manikyamand14,9000000014,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
507b199f-4032-47b5-a9a0-b2d17fbde889,Indrajit Bakshi,indrajitbakshi48@example.com,indrajitbakshi48,9000000048,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
52cf6bfc-c723-4ed7-ace8-de59db180177,Krish Raju,krishraju22@example.com,krishraju22,9000000022,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
5476239d-2c59-4137-bbc6-95763ae7538a,Jivika Bhagat,jivikabhagat17@example.com,jivikabhagat17,9000000017,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
59183b0c-6871-4d19-8a77-957aae22222e,Ryan Keer,ryankeer53@example.com,ryankeer53,9000000053,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
5d676e79-b659-4e7d-ac7e-570f47dff03f,Mannat Joshi,mannatjoshi61@example.com,mannatjoshi61,9000000061,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
5d70d2b5-41a4-4c4a-a840-834c7ddf9153,Vardaniya Kumar,vardaniyakumar35@example.com,vardaniyakumar35,9000000035,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
5f2fc231-a821-436c-b82c-6ead7124bbcd,Tarini Devi,tarinidevi46@example.com,tarinidevi46,9000000046,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
5f695169-bf49-4a94-9d74-943f06a5aaef,Anay Sura,anaysura24@example.com,anaysura24,9000000024,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
601ea394-d7ae-47a8-9907-9dddda919794,Sana Balay,sanabalay18@example.com,sanabalay18,9000000018,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
616181e6-4a1e-487d-aa43-6ccf24cfade9,Ishaan Solanki,ishaansolanki37@example.com,ishaansolanki37,9000000037,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
61c607d0-b0cc-4c16-9842-4210ba977801,Ivan Baria,ivanbaria44@example.com,ivanbaria44,9000000044,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
62662c8d-0416-4389-9530-7e18578adbea,Fateh Kadakia,fatehkadakia34@example.com,fatehkadakia34,9000000034,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
65321c33-7ad5-4fb7-bc3d-c011984a70be,Aarav Chhabra,aaravchhabra3@example.com,aaravchhabra3,9000000003,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
65b05940-713a-4aea-9a81-a9d66229406b,Seher Sharma,sehersharma58@example.com,sehersharma58,9000000058,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
6f8a080d-22dd-4a80-b9f6-d387033976a7,Riya Tiwari,riyatiwari8@example.com,riyatiwari8,9000000008,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
70776292-3fca-44b5-8d82-aa180c02f279,Eva Rana,evarana42@example.com,evarana42,9000000042,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
70e8b010-8a38-46c1-8d28-e83413adfa54,Suhana Contractor,suhanacontractor26@example.com,suhanacontractor26,9000000026,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
7358a31f-60b7-4dd4-b049-1c0a28f696aa,Samaira Sankaran,samairasankaran49@example.com,samairasankaran49,9000000049,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
7c8b4c9f-9a33-4cf4-a232-e1d476ec25d7,Purab Sandhu,purabsandhu57@example.com,purabsandhu57,9000000057,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
808fa26a-a2ca-4836-80c1-b3d4dbde3688,Indrans Srivastava,indranssrivastava13@example.com,indranssrivastava13,9000000013,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
80b5ba0f-fde7-4602-b0c8-efb882813897,Dishani D’Alia,dishanid’alia65@example.com,dishanid’alia65,9000000065,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
847a3cdc-1c43-4166-ac4d-ccfc03f162f5,Karan Bhandari,karanbhandari10@example.com,karanbhandari10,9000000010,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
87e5fce6-d0c0-476e-adfc-ff1dc67c0ee8,Prisha Kohli,prishakohli20@example.com,prishakohli20,9000000020,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
8bf199ec-0e44-4bdb-b8bc-9940dbbc4f63,Mamooty Kara,mamootykara51@example.com,mamootykara51,9000000051,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
8f8c161f-1cc6-4089-a489-6c11da9ac85f,Kanav Saha,kanavsaha38@example.com,kanavsaha38,9000000038,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
90994c2b-d072-44fb-ab4c-863b5c1d3507,Ira Vaidya,iravaidya33@example.com,iravaidya33,9000000033,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
91953a3d-b6fa-485a-bba1-d0366c5f4a27,Madhav Lanka,madhavlanka59@example.com,madhavlanka59,9000000059,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
9535a517-5bce-45fd-9a82-b0b00839d8ce,Fateh Keer,fatehkeer45@example.com,fatehkeer45,9000000045,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
9bc70e74-c6c8-443b-b464-545a1f48d78e,Urvi Sachar,urvisachar30@example.com,urvisachar30,9000000030,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
9fc35784-44dc-4a9f-8d79-b04898c482c4,Onkar Wagle,onkarwagle11@example.com,onkarwagle11,9000000011,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
a600e678-dcd2-483d-b11d-fa444560bea6,Ananya Choudhary,ananyachoudhary7@example.com,ananyachoudhary7,9000000007,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
ad0a5662-1a38-4c9d-9c03-73e8bda740b5,Nehmat Devi,nehmatdevi62@example.com,nehmatdevi62,9000000062,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
ae818d5d-ba1e-4fb2-aad1-5a226ed275c3,Kiara Shenoy,kiarashenoy15@example.com,kiarashenoy15,9000000015,Student,,,,2025-06-19 14:02:59.927363,2025-06-19 14:02:59.927363,,0,
